literal_address,covering_flags,example_uses,confidence
0x904A36,ram.name_entry_repeat_delay,highscore_check@0x49D72;player_death_sequence@0x49E8C;player_death_sequence@0x49F24;player_death_sequence@0x49F64;secret_getname@0x54EF2;secret_name_entry_update@0x5507E,Verified
0x904A3A,ram.player_initials_buf,draw_player_initials_entry@0x4A2E0;highscore_check@0x49D66;highscore_table_init@0x49CDE;player_death_sequence@0x49E02;secret_getname@0x54F18;secret_name_entry_update@0x55008,Verified
0x904A4A,ram.player_highscore_rank,draw_player_initials_entry@0x4A2D6;highscore_check@0x49D42;highscore_check@0x49D56;player_death_sequence@0x4A0A8,Verified
0x904A4E,ram.global_ui_delay_timer,main_start_game@0x4801A;main_treasure_timer@0x4D2B2;player_join_finalize@0x48AD0;secret_getname@0x54EFE;secret_getname@0x54FC2;secret_name_entry_update@0x5518E,Verified
0x904A50,ram.player_treascount,player_start_inner@0x48E86;show_level_end_bonus_screen@0x4D57E;show_level_end_bonus_screen@0x4D638,Verified
0x904A54,ram.player_stundelay,main_handle_shots@0x47B7E;main_move_players@0x4A908;main_move_players@0x4A9E6;player_resetcounters@0x43402;player_tile_interact@0x51312;player_tile_interact@0x5134A,Verified
0x904A5C,ram.death_hits,death_potion_score@0x49458,Verified
0x904A5E,ram.unused_init_word_904a5e,one_time_init@0x43326,Verified
0x904A60,ram.monster_iter_ptr,failed_door_post@0x427DC;failed_door_post@0x427E4;main_move_monsters@0x4903C;monster_loop_core@0x41526;monster_special_handler@0x41526;monster_update_anim_tile@0x41526,Verified
0x904A62,ram.monster_cull_h_origin,main_move_monsters@0x49060;monster_loop_core@0x40FFC;monster_shooter_in_view@0x41B52;monsters_everything@0x40FFC;monsters_everything@0x41566,Verified
0x904A64,ram.monster_cull_v_origin,main_move_monsters@0x49070;monster_loop_core@0x41010;monster_shooter_in_view@0x41B64;monsters_everything@0x41010;monsters_everything@0x4157A,Verified
0x904A66,ram.lobber_shot_h_accum,main_handle_shots@0x479CA;monster_create_shot@0x49216,Verified
0x904A6E,ram.lobber_shot_v_accum,main_handle_shots@0x47A14;monster_create_shot@0x4922A,Verified
0x904A76,ram.door_endpoint_pos,door_record_endpoints@0x51E9A;door_scan_horizontal_endpoints@0x520C6;door_scan_horizontal_endpoints@0x52118;door_scan_vertical_endpoints@0x51FF8;door_scan_vertical_endpoints@0x52048;main_open_doors@0x45C08,Verified
0x904A86,ram.door_endpoint_dir,door_record_endpoints@0x51E94;door_scan_horizontal_endpoints@0x520DE;door_scan_horizontal_endpoints@0x52130;door_scan_vertical_endpoints@0x52010;door_scan_vertical_endpoints@0x52060;main_open_doors@0x45C26,Verified
0x904A96,ram.ptr_dialog_pos,demo_speech_cmd@0x4CA48;dialog_first_encounter@0x4C59E;main_msgbox_countdown@0x4CCDC;main_msgbox_countdown@0x4CD02;player_give_item_with_message@0x4C81E,Verified
0x904A9A,ram.dialog_dim_H,demo_speech_cmd@0x4CA0C;demo_speech_cmd@0x4CA62;dialog_first_encounter@0x4C55E;dialog_first_encounter@0x4C5B8;dialog_position_box@0x4CC56;dialog_position_box@0x4CC68,Verified
0x904A9C,ram.dialog_dim_V,demo_speech_cmd@0x4C9FE;dialog_first_encounter@0x4C550;dialog_position_box@0x4CC4C;main_msgbox_countdown@0x4CD0A;player_give_item_with_message@0x4C7EA;player_give_item_with_message@0x4C7F4,Verified
0x904A9E,ram.dialog_timer,demo_speech_cmd@0x4C9CC;demo_speech_cmd@0x4C9D4;demo_speech_cmd@0x4CB34;demo_speech_cmd@0x4CB3E;dialog_first_encounter@0x4C49A;dialog_first_encounter@0x4C4A2,Verified
0x904AA0,ram.ptr_dialog_box_x,demo_speech_cmd@0x4C9B8;dialog_first_encounter@0x4C45A;dialog_position_box@0x4CB5C;player_give_item_with_message@0x4C810;player_give_item_with_message@0x4C858;player_give_item_with_message@0x4C8E0,Verified
0x904AA2,ram.ptr_dialog_box_y,demo_speech_cmd@0x4C9B2;dialog_first_encounter@0x4C454;dialog_position_box@0x4CB62;player_give_item_with_message@0x4C740,Verified
0x904AA4,ram.dialog_msg_buf,demo_speech_cmd@0x4CA78;demo_speech_cmd@0x4CB0C;dialog_clear_message@0x4C712;dialog_first_encounter@0x4C5CE;dialog_first_encounter@0x4C6B0;player_give_item_with_message@0x4C844,Verified
0x904AC2,ram.scroll_hpos_origin,main_handle_shots@0x4771E;player_try_move_core@0x41C60;player_try_move_core@0x41E98;player_try_move_core@0x42148;player_try_move_core@0x42192;player_try_move_core@0x42382,Verified
0x904AC4,ram.scroll_vpos_origin,main_handle_shots@0x4772C;player_try_move_core@0x41D0C;player_try_move_core@0x41D56;player_try_move_core@0x41F42;player_try_move_core@0x41F76;player_try_move_core@0x420A0,Verified
0x904AC6,ram.welcome_elapsed_frames,main_start_game@0x48020;main_start_game@0x4859C;main_start_game@0x48692;speech_welcome@0x48760;start_attract_to_game@0x4437A,Verified
0x904ACA,ram.player_lowhealth_spoken,coincheck@0x42C40;player_coindrop@0x4897A;player_lowhealth@0x487D8;player_lowhealth@0x488A4,Verified
0x904ACE,ram.player_respawn_speech_timer,coincheck@0x42C4E;main_health_countdown@0x467C2;main_health_countdown@0x467D2;player_coindrop@0x48988;player_lowhealth@0x487EA;player_lowhealth@0x488B2,Verified
0x904AD6,ram.player_pending_damage,player_damage_sample_update@0x50E92;player_damage_sample_update@0x50ED0;player_damage_sample_update@0x50EE6;player_damage_sample_update@0x50FBE;player_start_inner@0x48E7A,Verified
0x904ADE,ram.player_damage_total,player_damage_sample_update@0x50E46;player_start_inner@0x48E6C,Verified
0x904AE6,ram.player_damage_sample_timer,player_damage_sample_update@0x50E40;player_start_inner@0x48EB8,Verified
0x904AEE,ram.player_damage_sample_count,player_damage_sample_update@0x50E70;player_damage_sample_update@0x50F1C;player_damage_sample_update@0x50F30;player_damage_sample_update@0x50F74;player_damage_sample_update@0x50F9E;player_start_inner@0x48E5C,Verified
0x904AF6,ram.player_eatcount,player_join_finalize@0x48B14;player_join_finalize@0x48B2A,Verified
0x904AFA,ram.hurt_speech_timer,player_hurt_speech_timer@0x49AA4,Verified
0x904B02,ram.shot_anim_lifetime_counter,dragon_fire_setup@0x5480E;dragon_fire_setup@0x548A4;main_handle_shots@0x47568;main_handle_shots@0x47578;main_handle_shots@0x475D4;main_handle_shots@0x47618,Verified
0x904B1A,ram.player_scorepercoin,draw_player_initials_entry@0x4A36C;highscore_check@0x49D1E;main_health_countdown@0x46A1C;player_death_sequence@0x4A07E,Verified
0x904B2A,ram.player_coincount,coincheck@0x42BFE;coincheck@0x42C7C;main_health_countdown@0x46A26;main_health_countdown@0x46AA4;main_start_game@0x4842E;player_coindrop@0x4895C,Verified
0x904B32,ram.player_onlevel,main_start_game@0x48118;player_exit_sequence@0x52E92;player_join_finalize@0x48AF8;player_start_inner@0x48E40,Verified
0x904B3A,ram.player_death_damage_counter,death_damage_accumulate@0x49A50;player_start_inner@0x48E52,Verified
0x904B42,ram.death_touch_timer,main_handle_death@0x466A2;main_handle_death@0x466CC;monster_playerhit@0x495B6;player_start_inner@0x48EA6;player_tile_interact@0x51308;player_tile_interact@0x51340,Verified
0x904B4A,ram.ff_hurt_timer,main_handle_death@0x46660;main_handle_death@0x46688;main_move_players@0x4AAC2;player_start_inner@0x48E94,Verified
0x904B52,ram.level_next,main_move_players@0x4A760;main_start_game@0x480F2;player_exit_sequence@0x52DD0;player_exit_sequence@0x52DD6;player_exit_sequence@0x52DE0;player_exit_sequence@0x52E38,Verified
0x904B54,ram.maze_next,main_health_countdown@0x469F6;main_start_game@0x480FC;maze_checknum@0x52ED2;player_exit_sequence@0x52DE8;player_exit_sequence@0x52E08;player_exit_sequence@0x52E18,Verified
0x904B56,ram.special_bonus_score,dragon_shot_hit@0x54418;maze_addrandompickups@0x44166;maze_addrandompickups@0x44192;thief_remove_and_drop_loot@0x4F628,Verified
0x904B58,ram.playfield_palette_index,attract_demo_init@0x44A16;attract_highscores@0x4A156;load_legend_page@0x4CD6C;load_legend_page@0x4CD7E;main_start_game@0x48166;main_start_game@0x4821A,Verified
0x904B5A,ram.playfield_special_variant,attract_demo_init@0x44A0C;attract_highscores@0x4A14C;load_legend_page@0x4CD74;main_start_game@0x4815C;main_start_game@0x48210;main_start_game@0x48562,Verified
0x904B5C,ram.floorpattern,init_display@0x43634;maze_setupnew@0x44ACE;pf_floor_draw_xy@0x5E9B4;pf_floor_update@0x5E9B4,Verified
0x904B5E,ram.wallpattern,init_display@0x4349C;maze_place_object@0x46018;maze_place_object@0x46024;maze_setupnew@0x44B8C;maze_setupnew@0x44C52;maze_setupnew@0x44C5E,Verified
0x904B60,ram.attract_count,start_attract_screen@0x4448E;start_attract_screen@0x4449E,Verified
0x904B66,ram.demo_ptr,attract_demo_init@0x44A5C;main_handle_potions@0x47032;main_handle_shots@0x47B62;main_move_players@0x4A568;main_move_players@0x4A8F8;tport_player_move@0x506AC,Verified
0x904B6A,ram.demo_ptr,attract_demo_init@0x44A38;attract_demo_init@0x44A42,Verified
0x904B6E,ram.demo_ptr,attract_demo_init@0x44A50,Verified
0x904B72,ram.demo_ptr,attract_demo_init@0x44A56,Verified
0x904B76,ram.demo_timer,attract_demo_init@0x44A70;main_move_players@0x4A562,Verified
0x904B77,ram.demo_timer,attract_demo_init@0x44A48,Verified
0x904B78,ram.demo_timer,attract_demo_init@0x44A64,Verified
0x904B79,ram.demo_timer,attract_demo_init@0x44A6A,Verified
0x904B7A,ram.monster_generation_retry_timer,attract_demo_init@0x44A76;handle_generate@0x492D4,Verified
0x904B7C,ram.attract_timer,main_attract@0x44570;main_health_countdown@0x46B58;main_health_countdown@0x46B62;main_start_game@0x480C6;main_start_game@0x484DE;show_continue_prompt@0x44CA2,Verified
0x904B7E,ram.level_next_potion,level_splash@0x4BE4A;main_move_players@0x4A76C;main_move_players@0x4A774;main_start_game@0x4853C;main_start_game@0x4854A;main_start_game@0x4861E,Verified
0x904B80,ram.level_next_treasure,main_move_players@0x4A77A;main_move_players@0x4A782;maze_new_level_setup@0x438FC;show_level_start_screen@0x44E92;show_level_start_screen@0x44EAC,Verified
0x904B82,ram.title_intro_state,show_continue_prompt@0x44DA2;start_attract_screen@0x44426;title_logo_init@0x4DC82,Verified
0x904B84,ram.level_tport_count,maze_new_level_setup@0x439AA;maze_new_level_setup@0x43A0A;maze_new_level_setup@0x43A1A;player_tport@0x5039A;tport_find_id@0x4E7E6,Verified
0x904B86,ram.games_played_counter,eeprom_load_config@0x43070;eeprom_load_config@0x43076;eeprom_load_config@0x43080;eeprom_periodic_write@0x43258;eeprom_write@0x431C8;highscore_check@0x49DAC,Verified
0x904B88,ram.ptr_maze_data,find_maze@0x40CBC;level_splash@0x4C084;main_start_game@0x48550;main_start_game@0x48630;maze_new_level_setup@0x4390A;maze_new_level_setup@0x43938,Verified
0x904B8C,ram.maze_slapstic_cmd_offset,maze_init@0x40D1C;maze_select_alt_bank@0x40CEA;maze_select_bank@0x40D46;maze_select_bank_special@0x40D70;slapstic_cmd_bitwise@0x4382E;slapstic_cmd_bitwise@0x43888,Verified
0x904B8E,ram.eeprom_cache_stat1,eeprom_load_config@0x42F8E;eeprom_periodic_write@0x4320C;eeprom_write@0x43196;eeprom_write@0x431DE,Verified
0x904B8F,ram.eeprom_cache_stat2,eeprom_periodic_write@0x4321E,Verified
0x904B90,ram.eeprom_cache_stat3,eeprom_periodic_write@0x43230,Verified
0x904B91,ram.eeprom_cache_stat4,eeprom_periodic_write@0x43242,Verified
0x904B92,ram.eeprom_cache_stats,eeprom_periodic_write@0x43252,Verified
0x904B94,ram.eeprom_cache_settings,eeprom_periodic_write@0x43268,Verified
0x904B98,ram.thief_victim_pos,thief_setup@0x4E4C2;thief_test_move_tile@0x4E8AC;thief_track_victim_move@0x4E640;tport_player_move@0x50880;tport_player_move@0x50898;tport_player_move@0x508B2,Verified
0x904B9A,ram.thief_victim,main_health_countdown@0x46B70;main_start_thief@0x4DF74;main_thief_anim@0x4EBC0;main_thief_anim@0x4EC00;main_thief_anim@0x4EC10;maze_new_level_setup@0x438D0,Verified
0x904B9C,ram.thief_direction,main_start_thief@0x4DF10;main_thief_anim@0x4ECB2;main_thief_anim@0x4ECC8;main_thief_anim@0x4ED1A;main_thief_anim@0x4ED64;main_thief_anim@0x4ED7E,Verified
0x904B9E,ram.thief_enter_time,main_start_thief@0x4DEC0;main_thief_anim@0x4E8F6;maze_new_level_setup@0x438CA;show_level_end_bonus_screen@0x4D4C8;thief_exit@0x4E166;thief_setup@0x4E440,Verified
0x904BA0,ram.thief_mode,main_start_thief@0x4DF06;main_thief_anim@0x4E8EA;thief_begin_dodge@0x4E1BC;thief_end_dodge@0x4E176;thief_exit@0x4E126;thief_setup@0x4E458,Verified
0x904BA1,ram.thief_mode,main_move_players@0x4A6F0;main_move_players@0x4A702;main_start_thief@0x4DFC0;path_grid_get_direction@0x5105A;path_grid_set_high_direction_if_empty@0x51000;thief_enter_tport@0x4FAF4,Verified
0x904BA2,ram.thief_previous_pos,corner_squeeze_geometry@0x4FEC2;main_score_update@0x47260;main_thief_anim@0x4EBA0;thief_begin_dodge@0x4E1DA;thief_begin_dodge@0x4E1F0;thief_compute_path@0x4F940,Verified
0x904BA4,ram.thief_current_pos,main_exit_move@0x52960;main_move_players@0x4A6FA;main_score_update@0x4716C;main_start_thief@0x4DECC;main_start_thief@0x4DF8C;main_thief_anim@0x4E8E4,Verified
0x904BA6,ram.thief_next_pos,corner_squeeze_geometry@0x4FFF8;main_start_thief@0x4DF92;main_thief_anim@0x4EA40;main_thief_anim@0x4EA4A;main_thief_anim@0x4EA78;main_thief_anim@0x4EC68,Verified
0x904BA8,ram.mugger_item_nextlevel,main_move_players@0x4A70C;main_move_players@0x4A742;main_thief_anim@0x4EC3A;maze_addrandompickups@0x4416E;start_attract_to_game@0x4428E,Verified
0x904BAC,ram.thief_item_nextlevel,main_move_players@0x4A718;main_move_players@0x4A734;main_thief_anim@0x4EC46;maze_addrandompickups@0x4417E;maze_addrandompickups@0x4418A;maze_addrandompickups@0x44198,Verified
0x904BB0,ram.mugger_item_carried,main_move_players@0x4A70C;main_move_players@0x4A73A;main_thief_anim@0x4EBDC;main_thief_anim@0x4EC3A;start_attract_to_game@0x44288;thief_remove_and_drop_loot@0x4F614,Verified
0x904BB2,ram.mugger_item_carried,thief_remove_and_drop_loot@0x4F60E,Verified
0x904BB4,ram.thief_item_carried,main_move_players@0x4A718;main_move_players@0x4A724;main_thief_anim@0x4EBEE;main_thief_anim@0x4EC46;start_attract_to_game@0x4427A;thief_remove_and_drop_loot@0x4F5D8,Verified
0x904BB8,ram.thief_collision_direction_code,main_start_thief@0x4DF9C;main_thief_anim@0x4ED02;thief_handle_tile_collision@0x4F74E;thief_move_engine@0x4F546;thief_move_engine@0x4F5B0,Verified
0x904BBA,ram.thief_start_location,main_start_thief@0x4DEDC;main_thief_anim@0x4EB9A;main_thief_anim@0x4EBAC;thief_setup@0x4E4BC,Verified
0x904BBC,ram.thief_stolen_item,main_thief_anim@0x4E916;main_thief_anim@0x4E92C;main_thief_anim@0x4E94C;main_thief_anim@0x4E952;main_thief_anim@0x4E99C;main_thief_anim@0x4ED0A,Verified
0x904BBE,ram.thief_tport_active,main_thief_anim@0x4ECDC;thief_move_engine@0x4F54C;thief_start_tport_anim@0x4FC08,Verified
0x904BC0,ram.treasure_announcement_delay,main_treasure_timer@0x4D336;main_treasure_timer@0x4D366;main_treasure_timer@0x4D36E;main_treasure_timer@0x4D3C6;main_treasure_timer@0x4D40A;show_level_end_bonus_screen@0x4D4D6,Verified
0x904BC2,ram.treasure_voice_set,main_treasure_timer@0x4D2AC,Verified
0x904BC4,ram.tport_saved_picture,player_exit_sequence@0x52CF8;tport_player_flash@0x50626;tport_player_move@0x5095C;tport_restore_player_picture@0x50BA8,Verified
0x904BCC,ram.tport_saved_mob_state,main_score_update@0x471F6;main_score_update@0x4723A,Verified
0x904BCE,ram.player_tport_phase,corner_squeeze_geometry@0x500F8;corner_squeeze_geometry@0x50176;corner_squeeze_geometry@0x501AE;dialog_position_box@0x4CB74;main_move_players@0x4A7E2;main_score_update@0x472E0,Verified
0x904BD0,ram.player_tport_phase,corner_squeeze_geometry@0x5010A;corner_squeeze_geometry@0x501C0;player_tport@0x50422,Verified
0x904BD2,ram.player_tport_phase,corner_squeeze_geometry@0x5011C;corner_squeeze_geometry@0x501D2;player_tport@0x5043C,Verified
0x904BD4,ram.player_tport_phase,corner_squeeze_geometry@0x5012E;corner_squeeze_geometry@0x501E4;player_tport@0x50456,Verified
0x904BD6,ram.tport_frame_counter,main_score_update@0x471CE;main_score_update@0x47258;main_start_thief@0x4DFA2;main_thief_anim@0x4E900;thief_remove_and_drop_loot@0x4F662;thief_remove_and_drop_loot@0x4F6A0,Verified
0x904BD7,ram.tport_frame_counter,main_score_update@0x471DA,Verified
0x904BD8,ram.player_tile_or_tport_dest,corner_squeeze_geometry@0x500F0;corner_squeeze_geometry@0x50182;corner_squeeze_geometry@0x501A6;dialog_position_box@0x4CB82;main_scroll_playfield@0x46D58;player_tport@0x50400,Verified
0x904BDA,ram.player_tile_or_tport_dest,corner_squeeze_geometry@0x50102;corner_squeeze_geometry@0x501B8;player_tport@0x5041A,Verified
0x904BDC,ram.player_tile_or_tport_dest,corner_squeeze_geometry@0x50114;corner_squeeze_geometry@0x501CA;player_tport@0x50434,Verified
0x904BDE,ram.player_tile_or_tport_dest,corner_squeeze_geometry@0x50126;corner_squeeze_geometry@0x501DC;player_tport@0x5044E,Verified
0x904BE0,ram.tport_transition_mob,main_score_update@0x471EC;main_score_update@0x4721C;thief_remove_and_drop_loot@0x4F66A;thief_remove_and_drop_loot@0x4F678;thief_start_tport_anim@0x4FC2A,Verified
0x904BE2,ram.player_tport_type,corner_squeeze_geometry@0x5015C;player_tport@0x503F8;player_tport@0x504BE;player_tport@0x50514;tport_player_move@0x5067E,Verified
0x904BE4,ram.player_tport_type,player_tport@0x50412,Verified
0x904BE6,ram.player_tport_type,player_tport@0x5042C,Verified
0x904BE8,ram.player_tport_type,player_tport@0x50446,Verified
0x904BEA,ram.player_tport_route_state,corner_squeeze_geometry@0x4FEDA;player_tport@0x50238;tport_player_move@0x506CA;tport_player_move@0x5086C,Verified
0x904BF2,ram.movement_type,main_exit_move@0x5293C;main_move_players@0x4AA0A;player_exit_sequence@0x52C3E;player_try_move@0x41C22;player_try_move_core@0x41D9E;player_try_move_core@0x41E70,Verified
0x904BFC,ram.random_seed,getrandom@0x5FC4E;random_word@0x5FC46,Verified
0x904C00,ram.vblank_abort_guard,game_vblank@0x401CA,Verified
0x904FEC,ram.coin_counters,coincheck@0x42B72;coincheck@0x42B84,Verified
0x904FF0,ram.coin_totals,main_health_countdown@0x469A2,Verified
0x904FF4,ram.coin_pending,main_health_countdown@0x469AA,Verified
0x905000,vram.alpha,alpha_clear_rect@0x4D150;display_state_clear@0x5FD40;load_legend_page@0x4CD3C;maze_hide@0x4529E;maze_show@0x4526E;setup_infopanel@0x452F2,Verified
0x90503A,vram.alpha,setup_infopanel@0x4548A,Verified
0x90503E,vram.alpha,draw_player_health@0x459D6,Verified
0x905048,ram.hud_mob_table;vram.alpha,player_it_label_clear@0x45924;player_it_label_set@0x4588E,Verified
0x905054,ram.hud_mob_table;ram.path_direction_grid;vram.alpha,path_grid_get_direction@0x51044;path_grid_set_high_direction_if_empty@0x51014;path_grid_set_low_direction@0x50FDC,Verified
0x905C54,ram.tport_route_forward,tport_route_read_pair@0x510C4;tport_route_write_pair@0x51082,Verified
0x905D54,ram.tport_route_reverse,tport_route_read_pair@0x510E4;tport_route_write_pair@0x510A2,Verified
0x905F00,ram.player_hurt_palette_stubs,player_start_inner@0x48CC0;player_start_inner@0x48D2E,Verified
0x905F06,ram.player_hurt_palette_stubs,game_vblank@0x4026E,Verified
0x905F0C,ram.player_hurt_palette_stubs,game_vblank@0x402B6,Verified
0x905F12,ram.player_hurt_palette_stubs,game_vblank@0x402FE,Verified
0x905F18,ram.player_power_palette_stubs,player_start_inner@0x48CAE;player_start_inner@0x48D0A,Verified
0x905F1E,ram.player_power_palette_stubs,game_vblank@0x4024E,Verified
0x905F24,ram.player_power_palette_stubs,game_vblank@0x40296,Verified
0x905F2A,ram.player_power_palette_stubs,game_vblank@0x402DE,Verified
0x905F30,ram.hurt_cooldown,game_vblank@0x401DE;main_move_players@0x4AAFC;player_tile_interact@0x5137A;resolve_shot_hit@0x4B0B8;resolve_shot_hit@0x4B164;resolve_shot_hit@0x4B2EC,Verified
0x905F38,ram.reflect_timer,main_move_players@0x4A814;player_resetcounters@0x433DA,Verified
0x905F40,ram.acid_timer,draw_player_health@0x45A78;main_health_countdown@0x4674E;main_move_players@0x4A82C;main_move_players@0x4A874;main_move_players@0x4AA50;player_hurt_speech_timer@0x49AFA,Verified
0x905F48,ram.stun_timer,main_move_players@0x4A892;main_move_players@0x4A8B8,Verified
0x905F50,ram.invis_timer,main_move_players@0x4A7FC;main_move_players@0x4AC46;player_resetcounters@0x433CC,Verified
0x905F58,ram.debounce_shift_magic,input_debounce@0x40652;main_handle_potions@0x4701E;main_start_game@0x48402;player_death_sequence@0x49F72;player_death_sequence@0x4A0E0;secret_name_entry_update@0x5515A,Verified
0x905F5A,ram.debounce_shift_magic,input_debounce@0x4066E,Verified
0x905F5C,ram.debounce_shift_magic,input_debounce@0x4068A,Verified
0x905F5E,ram.debounce_shift_magic,input_debounce@0x406A6,Verified
0x905F60,ram.debounce_shift_fire,input_debounce@0x4065A;player_death_sequence@0x49F8E;player_death_sequence@0x4A0EA;secret_name_entry_update@0x55176;secret_name_entry_update@0x5541E,Verified
0x905F62,ram.debounce_shift_fire,input_debounce@0x40676,Verified
0x905F64,ram.debounce_shift_fire,input_debounce@0x40692,Verified
0x905F66,ram.debounce_shift_fire,input_debounce@0x406AE,Verified
0x905F68,ram.player_supershot,main_start_game@0x48300;main_start_game@0x48318;player_create_shot@0x537F8;player_create_shot@0x53804;player_exit_sequence@0x52BA4;player_resetcounters@0x433F4,Verified
0x905F6D,ram.secret_saved_supershot,main_start_game@0x48306;show_level_end_bonus_screen@0x4D89A,Verified
0x905F6E,vram.pf_vscroll_reg,game_vblank@0x4019C,Verified
0x905F80,ram.priority_bucket_heads,display_state_clear@0x5FD14;insert_mob_depth_sorted@0x5DFB6;main_move_monsters@0x490A0;maze_setupnew@0x44B00;mob_depth_remove@0x5E0E0;mob_place_explosion@0x5DFB6,Verified
0x905F82,ram.priority_bucket_heads_tail,main_move_monsters@0x4908E;main_move_monsters@0x490C0,Verified
